latin_name,status,year
Calidris ruficollis,LC,2008
Calidris ruficollis,LC,2004
Calidris ruficollis,LR/lc,2000
Calidris ruficollis,LR/lc,1994
Calidris ruficollis,LR/lc,1988
Calidris minuta,LC,2016
Calidris minuta,LC,2012
Calidris minuta,LC,2009
Calidris minuta,LC,2008
Calidris minuta,LC,2004
Calidris minuta,LR/lc,2000
Calidris minuta,LR/lc,1994
Calidris minuta,LR/lc,1988
Calidris temminckii,LC,2016
Calidris temminckii,LC,2012
Calidris temminckii,LC,2009
Calidris temminckii,LC,2008
Calidris temminckii,LC,2004
Calidris temminckii,LR/lc,2000
Calidris temminckii,LR/lc,1994
Calidris temminckii,LR/lc,1988
Calidris minutilla,LC,2016
Calidris minutilla,LC,2015
Calidris minutilla,LC,2012
Calidris minutilla,LC,2009
Calidris minutilla,LC,2008
Calidris minutilla,LC,2004
Calidris minutilla,LR/lc,2000
Calidris minutilla,LR/lc,1994
Calidris minutilla,LR/lc,1988
Calidris fuscicollis,LC,2017
Calidris fuscicollis,LC,2016
Calidris fuscicollis,LC,2012
Calidris fuscicollis,LC,2009
Calidris fuscicollis,LC,2008
Calidris fuscicollis,LC,2004
Calidris fuscicollis,LR/lc,2000
Calidris fuscicollis,LR/lc,1994
Calidris fuscicollis,LR/lc,1988
Calidris bairdii,LC,2016
Calidris bairdii,LC,2012
Calidris bairdii,LC,2009
Calidris bairdii,LC,2008
Calidris bairdii,LC,2004
Calidris bairdii,LR/lc,2000
Calidris bairdii,LR/lc,1994
Calidris bairdii,LR/lc,1988
Calidris melanotos,LC,2016
Calidris melanotos,LC,2012
Calidris melanotos,LC,2009
Calidris melanotos,LC,2008
Calidris melanotos,LC,2004
Calidris melanotos,LR/lc,2000
Calidris melanotos,LR/lc,1994
Calidris melanotos,LR/lc,1988
Calidris acuminata,LC,2016
Calidris acuminata,LC,2015
Calidris acuminata,LC,2012
Calidris acuminata,LC,2009
Calidris acuminata,LC,2008
Calidris acuminata,LC,2004
Calidris acuminata,LR/lc,2000
Calidris acuminata,LR/lc,1994
Calidris acuminata,LR/lc,1988
Calidris ferruginea,NT,2017
Calidris ferruginea,NT,2016
Calidris ferruginea,NT,2015
Calidris ferruginea,LC,2012
Calidris ferruginea,LC,2009
Calidris ferruginea,LC,2008
Calidris ferruginea,LC,2004
Calidris ferruginea,LR/lc,2000
Calidris ferruginea,LR/lc,1994
Calidris ferruginea,LR/lc,1988
Calidris maritima,LC,2016
Calidris maritima,LC,2012
Calidris maritima,LC,2009
Calidris maritima,LC,2008
Calidris maritima,LC,2004
Calidris maritima,LR/lc,2000
Calidris maritima,LR/lc,1994
Calidris maritima,LR/lc,1988
Calidris ptilocnemis,LC,2016
Calidris ptilocnemis,LC,2012
Calidris ptilocnemis,LC,2009
Calidris ptilocnemis,LC,2008
Calidris ptilocnemis,LC,2004
Calidris ptilocnemis,LR/lc,2000
Calidris ptilocnemis,LR/lc,1994
Calidris ptilocnemis,LR/lc,1988
Calidris alpina,LC,2017
Calidris alpina,LC,2016
Calidris alpina,LC,2012
Calidris alpina,LC,2009
Calidris alpina,LC,2008
Calidris alpina,LC,2004
Calidris alpina,LR/lc,2000
Calidris alpina,LR/lc,1994
Calidris alpina,LR/lc,1988
Calidris himantopus,LC,2016
Calidris himantopus,LC,2012
Calidris himantopus,LC,2009
Calidris himantopus,LC,2008
Calidris himantopus,LC,2004
Calidris himantopus,LR/lc,2000
Calidris himantopus,LR/lc,1994
Calidris himantopus,LR/lc,1988
Calidris pygmaea,CR,2017
Calidris pygmaea,CR,2016
Calidris pygmaea,CR,2015
Calidris pygmaea,CR,2013
Calidris pygmaea,CR,2012
Calidris pygmaea,CR,2011
Calidris pygmaea,CR,2010
Calidris pygmaea,CR,2009
Calidris pygmaea,CR,2008
Calidris pygmaea,EN,2004
Calidris pygmaea,VU,2000
Calidris pygmaea,VU,1996
Calidris pygmaea,VU,1994
Calidris pygmaea,T,1988
Calidris falcinellus,LC,2016
Calidris falcinellus,LC,2012
Calidris falcinellus,LC,2009
Calidris falcinellus,LC,2008
Calidris falcinellus,LC,2004
Calidris falcinellus,LR/lc,2000
Calidris falcinellus,LR/lc,1994
Calidris falcinellus,LR/lc,1988
Calidris subruficollis,NT,2017
Calidris subruficollis,NT,2016
Calidris subruficollis,NT,2012
Calidris subruficollis,NT,2008
Calidris subruficollis,NT,2006
Calidris subruficollis,NT,2004
Calidris subruficollis,LR/nt,2000
Calidris subruficollis,LR/lc,1994
Calidris subruficollis,LR/lc,1988
Calidris pugnax,LC,2016
Calidris pugnax,LC,2015
Calidris pugnax,LC,2012
Calidris pugnax,LC,2009
Calidris pugnax,LC,2008
Calidris pugnax,LC,2004
