common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,knowntraits,adult_length_cm,adult_body_mass_g,WOS_results,WOS_TS_results,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,first_assess,n_assessment,first_status
Tundra Swan,Cygnus columbianus,Anatidae,Terrestrial,Aves,Terrestrial birds,6350,24.1,730,4,1,2,LC,2016,0,0,0,1,1,6,NA,6350,46,118,0,1,0,0,1,2,1,3,0,1,3,1,2,2,5,25,3,4,5,8,7,2,6,3,6,7,4,5,3,6,2,1988,9,LR/lc
Eurasian Wigeon,Mareca penelope,Anatidae,Terrestrial,Aves,Terrestrial birds,660,35.2,365,8,1,2,LC,2017,1,0,1,1,10,6,NA,660,14,29,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,3,0,2,1,2,2,2,2,3,2,1988,9,LR/lc
Baikal Teal,Sibirionetta formosa,Anatidae,Terrestrial,Aves,Terrestrial birds,350,NA,NA,7.4,1,2,LC,2016,1,1,1,1,12,4,NA,350,2,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1994,10,VU
Northern Pintail,Anas acuta,Anatidae,Terrestrial,Aves,Terrestrial birds,721,27.4,240,7.5,1,2,LC,2017,NA,NA,NA,NA,NA,6,NA,721,87,308,7,1,3,1,5,5,9,10,9,11,12,9,12,14,3,15,17,11,14,17,11,11,11,11,16,15,7,13,6,13,9,1988,10,LR/lc
Greater Scaup,Aythya marila,Anatidae,Terrestrial,Aves,Terrestrial birds,929,22.1,365,9,1,3,LC,2016,0,0,0,1,1,6,NA,929,22,123,0,2,0,0,3,3,3,3,5,4,2,1,5,6,2,5,3,4,5,8,4,6,4,4,6,8,7,6,5,4,5,1988,8,LR/lc
Steller's Eider,Polysticta stelleri,Anatidae,Marine,Aves,Marine birds,907,23,730,8,1,3,VU,2016,1,1,1,1,10,6,NA,907,20,28,0,0,0,0,0,0,0,0,0,0,2,0,2,4,3,0,0,1,3,3,1,1,0,2,0,1,3,0,1,0,1,1988,12,LR/lc
Common Eider,Somateria mollissima,Anatidae,Marine,Aves,Marine birds,2130,37.8,730,4,1,3,NT,2016,1,1,1,1,19,6,NA,2130,239,567,1,4,7,5,9,6,14,10,12,8,17,11,15,14,18,23,26,17,21,33,31,27,28,31,32,21,30,18,25,36,17,1988,9,LR/lc
King Eider,Somateria spectabilis,Anatidae,Marine,Aves,Marine birds,1617,18.9,730,5,1,3,LC,2016,0,0,0,1,1,6,NA,1617,40,94,0,1,0,0,0,0,1,0,0,1,5,1,1,4,4,4,3,5,3,5,9,4,9,8,5,2,4,6,6,2,1,1988,8,LR/lc
Spectacled Eider,Somateria fischeri,Anatidae,Marine,Aves,Marine birds,1558,18,730,4.7,1,3,LC,2016,0,0,0,1,1,6,NA,1558,19,57,0,0,0,0,0,0,0,0,0,1,4,2,3,4,3,4,2,1,0,3,4,2,5,8,0,3,2,3,2,1,0,1988,9,LR/lc
Common Scoter,Melanitta nigra,Anatidae,Terrestrial,Aves,Terrestrial birds,1052,16.8,730,9,1,3,LC,2016,1,1,0,1,9,6,NA,1052,13,70,0,0,0,0,2,0,2,3,1,0,2,1,3,0,0,3,2,3,1,3,7,6,4,5,1,8,5,2,1,3,2,2012,3,LC
Black Scoter,Melanitta americana,Anatidae,Terrestrial,Aves,Terrestrial birds,1052,16.8,730,9,1,3,NT,2016,1,1,1,1,11,6,NA,1052,6,32,0,0,0,0,1,0,0,2,0,0,1,0,2,0,3,1,0,1,0,1,2,0,1,3,3,4,3,1,0,3,0,2012,3,NT
Velvet Scoter,Melanitta fusca,Anatidae,Terrestrial,Aves,Terrestrial birds,1361,21.4,730,11,1,3,VU,2016,1,1,1,1,19,6,NA,1361,15,60,0,0,2,0,0,0,1,1,0,0,3,1,0,0,0,2,1,2,2,4,5,8,2,2,3,9,5,3,1,3,0,2012,4,EN
Surf Scoter,Melanitta perspicillata,Anatidae,Terrestrial,Aves,Terrestrial birds,1098,9.5,730,6.7,1,3,LC,2016,0,0,0,1,1,6,NA,1098,25,59,0,0,0,0,1,1,1,0,0,0,2,1,2,1,2,0,2,2,1,2,6,6,4,1,3,7,8,3,0,2,1,1988,8,LR/lc
Long-tailed Duck,Clangula hyemalis,Anatidae,Marine,Aves,Marine birds,872,22.7,730,7,1,3,VU,2017,1,1,1,1,12,6,NA,872,24,59,0,0,0,0,1,0,1,0,1,2,1,2,0,1,2,1,3,4,5,3,2,3,2,1,2,5,6,2,3,3,3,1988,10,LR/lc
Red-breasted Merganser,Mergus serrator,Anatidae,Terrestrial,Aves,Terrestrial birds,1021,21.3,730,10,1,4,LC,2016,0,0,0,1,1,6,NA,1021,20,49,0,3,0,1,0,3,4,0,2,3,3,0,1,0,1,2,1,2,2,3,2,3,5,0,3,0,1,0,2,0,2,1988,8,LR/lc
European Golden Plover,Pluvialis apricaria,Charadriidae,Terrestrial,Aves,Terrestrial birds,214,12.8,730,4,1,3,LC,2016,0,0,0,1,2,6,NA,214,30,94,2,0,2,0,0,2,3,2,1,1,2,1,3,2,2,6,4,3,8,4,6,2,6,5,6,4,3,6,1,3,4,1988,8,LR/lc
Pacific Golden Plover,Pluvialis fulva,Charadriidae,Terrestrial,Aves,Terrestrial birds,135,21.3,365,3.9,1,3,LC,2016,0,0,0,1,1,6,NA,135,12,28,0,0,1,0,0,1,2,1,1,2,3,0,0,1,2,1,1,2,0,1,1,0,0,2,0,0,1,2,1,2,0,1988,8,LR/lc
American Golden Plover,Pluvialis dominica,Charadriidae,Terrestrial,Aves,Terrestrial birds,118,13,365,4,1,3,LC,2016,0,0,0,1,1,6,NA,118,8,39,0,0,0,0,1,2,1,0,1,0,1,2,1,1,1,1,6,2,1,2,2,1,0,2,0,0,4,3,1,2,1,1988,8,LR/lc
Grey Plover,Pluvialis squatarola,Charadriidae,Terrestrial,Aves,Terrestrial birds,224,25.6,730,4,1,3,LC,2017,0,0,0,1,1,6,NA,224,19,141,0,2,0,4,4,2,5,9,5,5,8,5,7,7,11,3,5,2,3,3,6,6,3,5,3,6,3,4,5,8,2,1988,10,LR/lc
Common Ringed Plover,Charadrius hiaticula,Charadriidae,Terrestrial,Aves,Terrestrial birds,64,20.8,365,3.5,2,3,LC,2016,0,0,0,1,1,6,NA,64,9,52,0,0,1,0,1,2,1,2,3,1,1,1,1,4,1,2,6,2,1,3,3,1,3,0,0,0,0,1,2,5,4,1988,8,LR/lc
