common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,knowntraits,adult_length_cm,adult_body_mass_g,WOS_results,WOS_TS_results,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,first_assess,n_assessment,first_status
Long-tailed Jaeger,Stercorarius longicaudus,Stercorariidae,Terrestrial,Aves,Terrestrial birds,298,14,NA,2,1,4,LC,2016,0,0,0,1,1,5,NA,298,4,25,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,0,1,0,0,2,0,1,1,1,6,2,2,2,1988,8,LR/lc
Black-legged Kittiwake,Rissa tridactyla,Laridae,Marine,Aves,Marine birds,317,28.5,1460,2,1,2.5,LC,2016,0,0,0,1,1,6,NA,317,136,549,5,3,1,2,6,15,8,12,14,17,19,17,20,16,18,20,21,23,17,18,35,23,20,20,20,30,25,35,25,19,26,1988,9,LR/lc
Ivory Gull,Pagophila eburnea,Laridae,Marine,Aves,Marine birds,550,23.9,730,2,1,4,NT,2017,1,1,0,1,10,6,NA,550,20,33,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,1,2,2,1,2,0,1,1,1,4,0,2,2,5,3,1988,11,LR/lc
Sabine's Gull,Xema sabini,Laridae,Marine,Aves,Marine birds,195,8.1,NA,2.18,1,2.5,LC,2016,0,0,0,1,1,5,NA,195,10,15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,3,0,2,0,0,0,0,3,0,0,0,0,1,1988,8,LR/lc
Ross's Gull,Rhodostethia rosea,Laridae,Marine,Aves,Marine birds,187,NA,NA,3,1,3,LC,2016,0,0,0,1,1,4,NA,187,4,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1988,8,LR/lc
Glaucous Gull,Larus hyperboreus,Laridae,Terrestrial,Aves,Terrestrial birds,1210,21.1,1460,3,1,4,LC,2016,0,0,0,1,1,6,NA,1210,54,185,3,4,0,3,5,5,7,1,2,6,9,5,6,6,12,12,3,5,7,4,3,4,12,5,10,12,7,7,9,6,5,1988,8,LR/lc
Iceland Gull,Larus glaucoides,Laridae,Marine,Aves,Marine birds,946,33,1460,2.39,1,4,LC,2016,0,1,0,1,3,6,NA,946,1,17,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,1,1,1,2,0,2,1,1,0,2000,8,LR/lc
Thayer's Gull,Larus thayeri,Laridae,Marine,Aves,Marine birds,1013,49,1460,2.6,1,4,LC,2017,0,0,0,1,1,6,NA,1013,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0,2000,9,LR/lc
American Herring Gull,Larus smithsonianus,Laridae,Marine,Aves,Marine birds,1094,49,1825,3,1,4,LC,2016,NA,NA,NA,NA,NA,6,NA,1094,4,37,0,0,0,0,1,1,2,0,1,2,4,1,3,0,1,0,1,2,0,1,1,0,2,2,3,0,1,3,1,4,0,2014,2,LC
Vega Gull,Larus vegae,Laridae,Marine,Aves,Marine birds,1090,49,1460,2.6,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Slaty-backed Gull,Larus schistisagus,Laridae,Marine,Aves,Marine birds,1373,NA,NA,3,NA,4,LC,2016,0,0,0,1,1,3,NA,1373,5,18,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,2,0,3,1,2,0,2,0,1988,8,LR/lc
Arctic Tern,Sterna paradisaea,Laridae,Marine,Aves,Marine birds,100,34,1095,2,1,4,LC,2016,0,0,0,1,1,6,NA,100,37,123,1,1,3,1,2,6,2,4,3,2,11,2,6,6,3,3,6,5,3,5,9,10,2,2,4,3,4,4,4,3,3,1988,9,LR/lc
Little Auk,Alle alle,Alcidae,Marine,Aves,Marine birds,160,25,1096,1,1,3,LC,2017,0,0,0,1,2,6,NA,160,70,187,0,1,2,0,3,5,4,2,1,6,6,3,5,5,2,6,6,6,2,3,8,6,8,11,14,18,11,13,13,8,9,1988,9,LR/lc
Common Murre,Uria aalge,Alcidae,Marine,Aves,Marine birds,992,42.8,1825,1,1,4,LC,2016,0,0,0,1,1,6,NA,992,137,592,8,6,2,4,15,15,15,10,12,25,27,17,25,26,20,20,23,23,20,20,33,30,25,24,19,32,21,17,25,19,14,1988,8,LR/lc
Thick-billed Murre,Uria lomvia,Alcidae,Marine,Aves,Marine birds,964,29,1862,1,1,4,LC,2016,0,0,0,1,2,6,NA,964,77,334,3,1,0,0,5,5,10,6,5,12,13,8,10,12,10,15,15,11,13,8,5,23,21,17,8,24,19,11,14,13,17,1988,8,LR/lc
Razorbill,Alca torda,Alcidae,Marine,Aves,Marine birds,726,42,1460,1,1,4,NT,2016,1,1,1,1,19,6,NA,726,37,124,0,2,1,2,3,6,1,2,3,4,8,3,5,5,5,5,5,3,4,2,5,9,7,6,3,8,2,4,5,3,3,1988,9,LR/lc
Black Guillemot,Cepphus grylle,Alcidae,Marine,Aves,Marine birds,428,29.9,1095,2,1,4,LC,2016,0,0,0,1,1,6,NA,428,30,121,5,1,1,2,2,2,4,4,1,1,5,3,6,5,2,6,6,4,3,4,7,3,4,5,3,10,5,3,6,4,4,1988,8,LR/lc
Kittlitz's Murrelet,Brachyramphus brevirostris,Alcidae,Marine,Aves,Marine birds,229,NA,NA,1,1,4,NT,2016,1,1,0,1,6,4,NA,229,10,26,0,0,0,0,0,0,0,0,1,2,0,2,2,1,0,0,1,1,0,0,1,2,1,1,0,4,0,2,3,2,0,1988,12,LR/lc
Parakeet Auklet,Aethia psittacula,Alcidae,Marine,Aves,Marine birds,273,NA,NA,1,NA,3,LC,2016,0,0,0,1,2,3,NA,273,5,23,0,0,0,0,0,0,2,0,0,0,0,1,3,1,1,2,1,1,1,2,0,0,2,1,0,1,1,0,0,0,3,1988,8,LR/lc
Crested Auklet,Aethia cristatella,Alcidae,Marine,Aves,Marine birds,289,10.8,1095,1,1,3,LC,2016,0,0,0,1,2,6,NA,289,20,60,0,0,0,2,0,3,1,0,1,0,0,2,4,3,0,2,1,4,1,6,2,3,4,3,4,3,3,2,1,1,4,1988,8,LR/lc
Least Auklet,Aethia pusilla,Alcidae,Marine,Aves,Marine birds,96,8.1,1095,1,1,3,LC,2016,0,0,0,1,1,6,NA,96,20,121,0,0,0,4,3,5,3,1,1,2,2,3,6,4,4,8,2,8,3,6,5,5,6,8,6,6,8,2,2,4,4,1988,8,LR/lc
Atlantic Puffin,Fratercula arctica,Alcidae,Marine,Aves,Marine birds,491,40.8,1460,1,1,4,VU,2017,1,1,1,1,20,6,NA,491,64,237,4,2,1,3,8,6,5,4,5,8,13,8,10,8,10,11,11,9,5,9,11,13,9,9,15,7,7,7,7,8,4,1988,10,LR/lc
Horned Puffin,Fratercula corniculata,Alcidae,Marine,Aves,Marine birds,581,20,1461,1,1,4,LC,2016,0,0,0,1,1,6,NA,581,6,13,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1988,8,LR/lc
Willow Grouse,Lagopus lagopus,Phasianidae,Terrestrial,Aves,Terrestrial birds,596,9,365,6,1,2,LC,2016,0,0,0,1,1,6,NA,596,250,965,1,6,9,6,17,35,23,17,36,25,25,27,24,44,35,25,36,30,43,33,48,41,43,44,50,48,37,35,34,39,50,1988,8,LR/lc
Rock Ptarmigan,Lagopus muta,Phasianidae,Terrestrial,Aves,Terrestrial birds,536,6.1,363,7,1,2,LC,2016,0,0,0,1,1,6,NA,536,62,143,1,3,1,0,1,5,3,0,9,2,6,2,6,7,2,0,2,4,5,4,3,6,9,8,4,11,7,7,5,9,11,1988,8,LR/lc
Rough-legged Buzzard,Buteo lagopus,Accipitridae,Terrestrial,Aves,Terrestrial birds,981,18.8,730,5,1,4,LC,2016,1,1,0,1,9,6,NA,981,10,62,0,0,0,0,0,4,1,1,1,1,2,5,2,4,2,0,3,3,2,1,1,1,1,7,1,2,1,4,2,6,4,1988,10,LR/lc
Golden Eagle,Aquila chrysaetos,Accipitridae,Terrestrial,Aves,Terrestrial birds,4800,48,1460,2,1,4,LC,2016,1,1,1,1,11,6,NA,4800,196,448,4,0,2,1,8,6,5,5,4,9,10,5,11,9,13,18,16,15,11,26,21,25,26,22,8,25,17,22,36,37,31,1988,10,LR/lc
Gyrfalcon,Falco rusticolus,Falconidae,Terrestrial,Aves,Terrestrial birds,1407,13.5,730,3.72,1,4,LC,2017,1,1,0,1,9,6,NA,1407,31,55,0,2,0,1,1,2,0,1,3,1,2,1,2,0,1,2,3,1,3,1,1,1,3,5,4,2,3,1,1,3,4,1988,10,NT
Peregrine Falcon,Falco peregrinus,Falconidae,Terrestrial,Aves,Terrestrial birds,840,25,365,3,1,4,LC,2016,1,1,0,0,16,6,NA,840,214,423,2,4,7,14,7,6,9,4,16,13,19,14,12,20,8,17,19,17,13,18,14,20,11,10,16,17,21,18,21,20,16,2014,3,LC
Sandhill Crane,Antigone canadensis,Gruidae,Terrestrial,Aves,Terrestrial birds,3890,36.6,1095,2,1,2.5,LC,2016,NA,NA,NA,NA,NA,6,NA,3890,95,172,2,7,5,7,3,6,1,6,11,4,3,3,6,3,4,4,3,3,5,7,8,2,4,7,7,3,9,7,11,10,11,1988,8,LR/lc
Siberian Crane,Leucogeranus leucogeranus,Gruidae,Terrestrial,Aves,Terrestrial birds,5931,36.2,2181,2,1,2,CR,2016,1,1,0,1,17,6,NA,5931,13,22,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,1,0,0,0,1,2,3,0,0,2,0,2,3,2,1994,15,EN
Snowy Owl,Bubo scandiacus,Strigidae,Terrestrial,Aves,Terrestrial birds,2043,28,730,6,1,4,LC,2016,1,1,0,1,8,6,NA,2043,25,51,0,2,1,0,0,0,1,0,0,1,2,1,1,0,1,2,4,1,1,1,2,2,5,1,4,4,1,4,2,6,2,1988,9,LR/lc
Short-eared Owl,Asio flammeus,Strigidae,Terrestrial,Aves,Terrestrial birds,406,21.8,365,6,1.5,4,LC,2016,1,1,1,0,20,6,NA,406,41,85,1,0,0,0,3,1,3,4,1,1,2,4,5,6,5,3,3,1,5,0,0,4,5,3,5,3,3,1,2,4,7,1988,9,LR/lc
Northern Raven,Corvus corax,Corvidae,Terrestrial,Aves,Terrestrial birds,1041,69,1095,5,1,4,LC,2017,NA,NA,NA,NA,NA,6,NA,1041,67,345,0,2,0,0,4,9,4,4,9,6,4,6,11,6,11,8,12,16,12,13,17,20,24,15,22,20,18,19,15,23,15,1988,10,LR/lc
Hooded Crow,Corvus cornix,Corvidae,Terrestrial,Aves,Terrestrial birds,545,16.8,911,4.5,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,545,49,147,1,3,0,1,4,10,1,5,3,3,2,3,3,5,6,7,3,4,4,6,2,5,10,13,3,8,6,5,7,7,7,NA,NA,NA
Horned Lark,Eremophila alpestris,Alaudidae,Terrestrial,Aves,Terrestrial birds,34,8,365,43,1.5,2.5,LC,2017,NA,NA,NA,NA,NA,6,NA,34,22,101,0,0,0,1,2,6,2,0,3,2,2,2,2,3,2,3,3,6,6,2,4,3,5,1,5,7,6,9,4,6,4,1988,9,LR/lc
Grey-cheeked Thrush,Catharus minimus,Turdidae,Terrestrial,Aves,Terrestrial birds,25,7.3,365,4,1,3,LC,2016,NA,NA,NA,NA,NA,6,NA,25,6,27,0,0,0,0,0,0,2,2,0,0,2,3,1,0,1,0,0,0,1,0,0,3,2,0,1,0,2,1,1,2,3,2000,8,LR/lc
Redwing,Turdus iliacus,Turdidae,Terrestrial,Aves,Terrestrial birds,61,18.8,365,5.19,2,2.5,NT,2017,1,1,0,1,6,6,NA,61,19,67,1,0,1,1,1,3,1,3,0,6,4,7,4,2,4,1,0,1,1,2,2,4,2,2,2,0,5,2,2,2,1,1988,10,LR/lc
Bluethroat,Cyanecula svecica,Muscicapidae,Terrestrial,Aves,Terrestrial birds,17,11.4,365,6,1,3,LC,2016,NA,NA,NA,NA,NA,6,NA,17,42,89,0,0,0,0,1,2,1,1,0,1,3,2,5,5,2,3,3,5,5,2,2,8,1,5,5,3,8,2,5,6,3,1988,8,LR/lc
Northern Wheatear,Oenanthe oenanthe,Muscicapidae,Terrestrial,Aves,Terrestrial birds,25,10.1,365,5.5,2,3,LC,2017,1,1,0,1,7,6,NA,25,86,248,3,1,5,2,5,7,2,7,8,5,2,4,9,2,6,5,5,3,7,8,5,8,11,15,15,11,14,18,18,20,17,2016,2,LC
Siberian Accentor,Prunella montanella,Prunellidae,Terrestrial,Aves,Terrestrial birds,17,NA,NA,5,2,3,LC,2016,0,0,0,1,1,4,NA,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1988,9,LR/lc
White Wagtail,Motacilla alba,Motacillidae,Terrestrial,Aves,Terrestrial birds,24,13.7,365,5,1,3,LC,2016,NA,NA,NA,NA,NA,6,NA,24,12,63,0,0,1,0,0,3,2,4,1,3,3,1,0,2,4,3,3,5,3,6,3,3,1,3,0,1,1,0,3,4,0,2006,11,LC
Eastern Yellow Wagtail,Motacilla tschutschensis,Motacillidae,Terrestrial,Aves,Terrestrial birds,18,8.8,365,5,1,NA,LC,2017,NA,NA,NA,NA,NA,5,NA,18,2,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,2,1,1,0,0,1,0,0,2,0,2016,2,LC
Citrine Wagtail,Motacilla citreola,Motacillidae,Terrestrial,Aves,Terrestrial birds,20,NA,NA,4.5,1,3,LC,2016,NA,NA,NA,NA,NA,4,NA,20,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1988,9,LR/lc
Buff-bellied Pipit,Anthus rubescens,Motacillidae,Terrestrial,Aves,Terrestrial birds,21,5.1,365,5,1,3,LC,2017,0,0,0,1,1,6,NA,21,1,14,0,1,0,0,2,1,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,1,0,1988,10,LR/lc
Meadow Pipit,Anthus pratensis,Motacillidae,Terrestrial,Aves,Terrestrial birds,18,8.8,365,4.775,2,3,NT,2017,1,0,0,1,5,6,NA,18,28,130,1,1,1,0,2,3,2,2,3,3,4,10,5,6,6,5,7,6,4,10,3,13,3,4,5,1,4,6,3,4,3,1988,10,LR/lc
Red-throated Pipit,Anthus cervinus,Motacillidae,Terrestrial,Aves,Terrestrial birds,21,4.5,NA,5.36,NA,3,LC,2017,0,0,0,1,1,4,NA,21,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1988,9,LR/lc
Rock Pipit,Anthus petrosus,Motacillidae,Terrestrial,Aves,Terrestrial birds,22,10.9,365,4.6,1.5,3,LC,2016,NA,NA,NA,NA,NA,6,NA,22,8,20,0,1,0,0,0,2,0,0,1,1,3,0,0,0,0,1,1,3,0,0,1,1,0,0,1,1,1,0,0,1,1,1988,8,LR/lc
Common Redpoll,Acanthis flammea,Fringillidae,Terrestrial,Aves,Terrestrial birds,14,12.2,365,5,2,2,LC,2016,0,0,0,1,1,6,NA,14,4,23,0,0,0,0,0,1,1,2,2,0,0,1,1,0,2,0,1,1,3,0,1,0,0,1,1,1,0,3,0,1,0,2012,3,LC
Arctic Redpoll,Acanthis hornemanni,Fringillidae,Terrestrial,Aves,Terrestrial birds,14,6.8,365,4.5,1,2,NA,NA,NA,NA,NA,NA,NA,6,NA,14,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,NA,NA,NA
Little Bunting,Emberiza pusilla,Emberizidae,Terrestrial,Aves,Terrestrial birds,15,NA,NA,5,1,2,LC,2017,0,0,0,1,1,4,NA,15,4,239,0,1,0,0,2,2,2,12,3,2,4,11,11,13,9,10,8,10,10,12,12,14,5,11,11,11,10,14,10,11,8,1988,10,LR/lc
White-crowned Sparrow,Zonotrichia leucophrys,Emberizidae,Terrestrial,Aves,Terrestrial birds,26,13.3,365,4,1.5,2,LC,2016,NA,NA,NA,NA,NA,6,NA,26,127,846,11,6,4,11,24,24,34,29,31,27,31,22,23,23,25,34,26,46,22,34,33,25,33,38,48,32,28,25,32,25,40,1988,8,LR/lc
Savannah Sparrow,Passerculus sandwichensis,Emberizidae,Terrestrial,Aves,Terrestrial birds,20,18,365,4,1,2.5,LC,2016,NA,NA,NA,NA,NA,6,NA,20,58,271,4,1,0,5,8,14,6,6,10,10,10,9,9,11,7,11,17,4,12,11,5,10,13,13,10,8,12,11,9,11,5,2016,1,LC
American Tree Sparrow,Passerella arborea,Emberizidae,Terrestrial,Aves,Terrestrial birds,17,10.8,365,4,1,2.5,LC,2016,0,0,0,1,1,6,NA,17,13,63,2,0,1,0,3,2,3,1,5,2,7,3,4,1,6,1,2,3,3,2,1,0,1,2,1,0,0,0,5,0,2,1988,8,LR/lc
Lapland Longspur,Calcarius lapponicus,Calcariidae,Terrestrial,Aves,Terrestrial birds,28,6,NA,5,1,2.5,LC,2017,0,0,0,1,1,5,NA,28,11,41,1,0,1,0,1,2,1,0,4,0,1,1,1,2,0,6,0,0,4,0,1,0,2,0,0,0,3,1,3,3,3,1988,9,LR/lc
Smith's Longspur,Calcarius pictus,Calcariidae,Terrestrial,Aves,Terrestrial birds,27,5,365,4,1,2.5,LC,2016,0,0,0,1,1,6,NA,27,6,12,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,2,0,1,1988,8,LR/lc
Snow Bunting,Plectrophenax nivalis,Calcariidae,Terrestrial,Aves,Terrestrial birds,42,9.6,365,5,1,2,LC,2016,0,0,0,1,1,6,NA,42,22,54,1,0,0,0,1,1,1,2,3,2,3,1,1,1,1,3,3,2,1,0,4,1,1,1,3,1,4,3,4,4,1,1988,8,LR/lc
McKay's Bunting,Plectrophenax hyperboreus,Calcariidae,Terrestrial,Aves,Terrestrial birds,42,4.8,364,4,1,2,LC,2016,0,0,1,1,11,6,NA,42,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1988,8,LR/lc
Siberian newt,Salamandrella keyserlingii,Hynobiidae,Terrestrial,Amphibia,Amphibians,7,10,1095,70,1,NA,LC,2008,NA,NA,NA,NA,NA,5,NA,7,9,16,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,3,1,1,3,2004,2,LC
Siberian wood frog,Rana amurensis,Ranidae,Terrestrial,Amphibia,Amphibians,NA,11,821,2225,1,NA,LC,2008,1,1,0,1,16,4,NA,NA,6,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,3,0,1,0,2,1,1,2004,2,LC
Moor frog,Rana arvalis,Ranidae,Terrestrial,Amphibia,Amphibians,11,11,1095,2300,1,NA,LC,2009,1,1,0,0,12,5,NA,11,56,138,0,1,2,0,0,2,1,2,1,2,1,5,2,5,6,4,6,4,3,5,10,10,10,6,4,9,6,10,9,6,6,2004,2,LC
Polar Bear,Ursus maritimus,Ursidae,Marine,Mammalia,Marine mammals,475000,43.8,1734,2,0.4,5.1,VU,2015,1,1,1,1,22,6,NA,475000,273,672,3,2,1,5,14,10,7,8,17,21,15,11,8,16,17,13,13,31,19,23,25,38,33,29,26,36,45,48,47,42,49,1965,10,NA
Northern Fur Seal,Callorhinus ursinus,Otariidae,Marine,Mammalia,Marine mammals,165500,35,1095,1.3,0.9,4.2,VU,2015,1,1,0,1,9,6,NA,165500,131,499,5,0,7,6,7,11,8,12,11,3,9,8,7,11,17,16,15,18,24,17,32,28,23,25,21,32,28,32,18,21,28,1996,3,VU
Steller's Sea Lion,Eumetopias jubatus,Otariidae,Marine,Mammalia,Marine mammals,415000,32.8,1780,1,1,4.2,NT,2016,1,1,1,1,8,6,NA,415000,123,425,1,2,0,0,1,2,3,3,1,6,7,6,5,10,9,11,11,16,20,29,33,31,34,26,24,24,28,24,32,13,14,1994,5,V
Walrus,Odobenus rosmarus,Odobenidae,Marine,Mammalia,Marine mammals,1010000,40,1745,1,0.5,3.4,VU,2016,1,1,0,1,12,6,NA,1010000,121,219,1,1,3,0,4,5,4,4,2,3,11,7,5,4,8,3,9,5,8,6,16,13,8,13,8,6,10,11,14,15,12,1996,3,LR/lc
Hooded seal,Cystophora cristata,Phocidae,Marine,Mammalia,Marine mammals,405000,35,1095,1,1,4.2,VU,2016,1,1,1,1,9,6,NA,405000,64,161,3,3,1,1,3,9,6,3,8,6,9,4,5,5,8,10,3,4,5,4,7,5,7,6,6,3,7,7,2,5,6,1996,3,LR/lc
Bearded seal,Erignathus barbatus,Phocidae,Marine,Mammalia,Marine mammals,373000,31.5,1712,1,1,3.4,LC,2016,1,1,0,1,9,6,NA,373000,36,128,0,0,1,1,2,1,2,1,4,4,2,2,3,4,4,4,7,4,5,8,10,8,4,5,6,4,6,6,4,10,6,1996,3,LR/lc
Gray seal,Halichoerus grypus,Phocidae,Marine,Mammalia,Marine mammals,268000,42.9,1460,1,0.9,4,LC,2016,1,1,0,1,11,6,NA,268000,257,823,5,3,1,8,11,12,15,14,19,22,26,22,26,28,42,42,42,29,35,34,34,33,28,29,38,45,34,38,47,28,34,1996,3,LR/lc
Spotted seal,Phoca largha,Phocidae,Marine,Mammalia,Marine mammals,85000,NA,1279,1,NA,4,LC,2016,1,1,1,1,11,4,NA,85000,23,81,0,0,0,0,3,1,1,0,2,1,0,2,1,4,4,2,4,5,2,1,3,3,4,6,4,3,2,5,5,9,4,1996,3,LR/lc
Harbor seal,Phoca vitulina,Phocidae,Marine,Mammalia,Marine mammals,115000,47.6,1095,1,1,4,LC,2016,1,1,1,1,19,6,NA,115000,489,1309,8,7,11,15,25,19,28,21,22,29,40,47,38,35,45,60,56,39,55,55,59,72,45,61,51,57,57,58,67,67,62,1996,3,LR/lc
Harp seal,Pagophilus groenlandicus,Phocidae,Marine,Mammalia,Marine mammals,180000,NA,1637,1.25,NA,3.8,LC,2015,1,1,1,1,13,4,NA,180000,137,327,5,1,3,2,11,17,17,13,12,12,15,15,10,14,14,20,8,11,12,12,6,10,11,9,10,8,9,13,8,12,7,1996,3,LR/lc
Ribbon seal,Histriophoca fasciata,Phocidae,Marine,Mammalia,Marine mammals,90000,NA,1050,1,1,3.8,LC,2016,0,1,0,1,5,5,NA,90000,6,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,2,1,0,1,1,1,3,1,3,1,1965,4,NA
Ringed seal,Pusa hispida,Phocidae,Marine,Mammalia,Marine mammals,90000,46,1826,1,1,3.8,LC,2016,1,1,1,1,14,6,NA,90000,147,367,1,1,4,7,8,9,9,2,10,10,12,14,10,9,15,16,12,13,13,8,14,22,14,12,17,15,16,22,15,20,18,1996,3,LR/lc
Bowhead whale,Balaena mysticetus,Balaenidae,Marine,Mammalia,Marine mammals,100000000,211,8212,1,0.3,3.2,LC,2012,1,1,0,1,8,6,NA,100000000,86,234,2,1,3,1,1,5,1,2,2,4,4,3,5,8,7,3,5,10,6,7,10,12,7,10,12,19,12,13,20,24,15,1965,8,NA
Pacific Northern right whale,Eubalaena japonica,Balaenidae,Marine,Mammalia,Marine mammals,23000000,67,3500,1,0.29,NA,EN,2008,1,1,0,0,5,5,NA,23000000,10,43,0,0,0,0,2,0,1,1,4,0,0,1,0,0,0,1,0,1,2,3,1,1,0,2,1,5,3,4,6,3,2,1996,2,EN
Atlantic Northern right whale,Eubalaena glacialis,Balaenidae,Marine,Mammalia,Marine mammals,23000000,67,2920,1,0.29,3.2,EN,2012,1,1,0,0,5,6,NA,23000000,63,217,1,1,0,3,1,1,2,2,3,2,3,3,3,3,5,3,8,6,6,10,7,5,11,13,10,14,16,17,20,21,18,2008,2,EN
Blue whale,Balaenoptera musculus,Balaenopteridae,Marine,Mammalia,Marine mammals,136000000,110,1827,1,0.4,3.2,EN,2008,0,1,0,1,3,6,NA,136000000,78,213,0,0,0,1,1,3,1,1,1,1,5,8,6,6,4,4,5,8,3,9,9,4,8,13,12,11,12,18,23,19,18,1965,7,NA
Fin whale,Balaenoptera physalus,Balaenopteridae,Marine,Mammalia,Marine mammals,70000000,114,2701,1,0.4,3.4,EN,2013,1,1,0,0,6,6,NA,70000000,185,615,4,4,1,6,4,9,13,7,12,9,9,11,12,14,17,18,11,16,13,21,23,21,23,27,35,31,39,51,62,51,42,1965,8,NA
Sei whale,Balaenoptera borealis,Balaenopteridae,Marine,Mammalia,Marine mammals,20000000,74,3652,1,0.5,3.4,EN,2008,0,1,0,0,4,6,NA,20000000,16,57,1,0,0,1,2,1,1,0,3,1,1,2,0,3,1,2,2,0,1,2,1,0,1,8,4,3,1,2,2,6,5,1994,3,V
Minke whale,Balaenoptera acutorostrata,Balaenopteridae,Marine,Mammalia,Marine mammals,7500000,50,2740,1,1,3.4,LC,2008,0,1,0,1,6,6,NA,7500000,136,346,0,1,1,4,4,7,5,5,6,8,8,9,5,11,6,17,7,10,12,14,16,8,16,24,17,19,18,28,18,26,15,1996,3,LR/nt
Humpback whale,Megaptera novaeangliae,Balaenopteridae,Marine,Mammalia,Marine mammals,30000000,95,1643,1,0.5,3.6,LC,2008,1,1,0,0,9,6,NA,30000000,368,845,8,9,5,1,5,7,7,12,21,16,19,16,20,21,20,14,16,19,21,26,29,33,37,48,61,41,46,63,68,75,63,1965,7,NA
Gray whale,Eschrichtius robustus,Eschrichtiidae,Marine,Mammalia,Marine mammals,28500000,77,2922,1,0.5,3.3,LC,2008,1,1,0,0,6,6,NA,28500000,96,246,0,4,2,4,2,5,5,3,4,6,4,6,9,8,10,10,5,7,7,5,7,13,8,11,14,11,12,13,19,14,18,1996,2,LR/cd
Killer whale,Orcinus orca,Delphinidae,Marine,Mammalia,Marine mammals,3990000,90,3780,1,0.2,4.5,DD,2013,1,1,1,1,13,6,NA,3990000,365,844,3,3,4,3,9,4,8,4,9,16,12,21,17,21,13,22,11,20,19,27,37,48,47,47,49,48,55,79,62,69,57,1996,4,LR/cd
White-beaked dolphin,Lagenorhynchus albirostris,Delphinidae,Marine,Mammalia,Marine mammals,183317,13,5844,1,NA,4.2,LC,2012,0,1,0,0,2,5,NA,183317,24,55,1,0,0,1,0,2,0,1,1,1,1,1,4,1,2,1,3,0,2,1,2,3,3,3,2,1,5,4,3,6,0,1996,4,LR/lc
Long-finned pilot whale,Globicephala melas,Delphinidae,Marine,Mammalia,Marine mammals,1060000,60,2470,1,0.2,4.4,DD,2008,1,1,1,1,7,6,NA,1060000,65,163,0,1,0,2,2,1,5,6,5,2,4,5,4,7,3,6,5,7,4,2,6,8,5,5,4,10,11,11,15,8,10,1996,3,LR/lc
Atlantic white-sided dolphin,Lagenorhynchus acutus,Delphinidae,Marine,Mammalia,Marine mammals,208000,27,2231,1.25,0.4,4.1,LC,2008,0,1,0,0,3,6,NA,208000,18,49,0,2,0,1,0,1,1,1,2,1,2,2,3,1,3,2,3,1,1,1,3,0,1,4,1,4,1,1,1,4,1,1996,3,LR/lc
