common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,knowntraits,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,first_assess,first_status,n_assessment,WOS_1987,WOS_1988,WOS_1989,WOS_1990,WOS_1991,WOS_1992,WOS_1993,WOS_1994,WOS_1995,WOS_1996,WOS_1997,WOS_1998,WOS_1999,WOS_2000,WOS_2001,WOS_2002,WOS_2003,WOS_2004,WOS_2005,WOS_2006,WOS_2007,WOS_2008,WOS_2009,WOS_2010,WOS_2011,WOS_2012,WOS_2013,WOS_2014,WOS_2015,WOS_2016,WOS_2017
Common Scoter,Melanitta nigra,Anatidae,Terrestrial,Aves,Terrestrial birds,1052,16.8,730,9,1,3,6,LC,2016,1,1,0,1,9,2012,LC,3,0,0,0,0,2,0,2,3,1,0,2,1,3,0,0,3,2,3,1,3,7,6,4,5,1,8,5,2,1,3,2
Black Scoter,Melanitta americana,Anatidae,Terrestrial,Aves,Terrestrial birds,1052,16.8,730,9,1,3,6,NT,2016,1,1,1,1,11,2012,NT,3,0,0,0,0,1,0,0,2,0,0,1,0,2,0,3,1,0,1,0,1,2,0,1,3,3,4,3,1,0,3,0
Velvet Scoter,Melanitta fusca,Anatidae,Terrestrial,Aves,Terrestrial birds,1361,21.4,730,11,1,3,6,VU,2016,1,1,1,1,19,2012,EN,4,0,0,2,0,0,0,1,1,0,0,3,1,0,0,0,2,1,2,2,4,5,8,2,2,3,9,5,3,1,3,0
Surf Scoter,Melanitta perspicillata,Anatidae,Terrestrial,Aves,Terrestrial birds,1098,9.5,730,6.7,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,0,1,1,1,0,0,0,2,1,2,1,2,0,2,2,1,2,6,6,4,1,3,7,8,3,0,2,1
Long-tailed Duck,Clangula hyemalis,Anatidae,Marine,Aves,Marine birds,872,22.7,730,7,1,3,6,VU,2017,1,1,1,1,12,1988,LR/lc,10,0,0,0,0,1,0,1,0,1,2,1,2,0,1,2,1,3,4,5,3,2,3,2,1,2,5,6,2,3,3,3
Red-breasted Merganser,Mergus serrator,Anatidae,Terrestrial,Aves,Terrestrial birds,1021,21.3,730,10,1,4,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,3,0,1,0,3,4,0,2,3,3,0,1,0,1,2,1,2,2,3,2,3,5,0,3,0,1,0,2,0,2
European Golden Plover,Pluvialis apricaria,Charadriidae,Terrestrial,Aves,Terrestrial birds,214,12.8,730,4,1,3,6,LC,2016,0,0,0,1,2,1988,LR/lc,8,2,0,2,0,0,2,3,2,1,1,2,1,3,2,2,6,4,3,8,4,6,2,6,5,6,4,3,6,1,3,4
Pacific Golden Plover,Pluvialis fulva,Charadriidae,Terrestrial,Aves,Terrestrial birds,135,21.3,365,3.9,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,1,0,0,1,2,1,1,2,3,0,0,1,2,1,1,2,0,1,1,0,0,2,0,0,1,2,1,2,0
American Golden Plover,Pluvialis dominica,Charadriidae,Terrestrial,Aves,Terrestrial birds,118,13,365,4,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,0,1,2,1,0,1,0,1,2,1,1,1,1,6,2,1,2,2,1,0,2,0,0,4,3,1,2,1
Grey Plover,Pluvialis squatarola,Charadriidae,Terrestrial,Aves,Terrestrial birds,224,25.6,730,4,1,3,6,LC,2017,0,0,0,1,1,1988,LR/lc,10,0,2,0,4,4,2,5,9,5,5,8,5,7,7,11,3,5,2,3,3,6,6,3,5,3,6,3,4,5,8,2
